OBJECTID,NAME,PYNAME,MAPID,ID,KIND,SNODE_ID,ENODE_ID,Shape_Leng
149,地铁10号线,dt10hx,595673,10000029738,0246,10000002861,210000027448,0.01924370600
150,地铁5号线,dt5hx,595673,10000025759,0245,10000012596,110000006172,0.00857346120
151,地铁2号线,dt2hx,595673,10000015028,0246,10000007345,10000017996,0.02185512200
152,地铁机场线,dtjcx,605604,10000177446,0245,210000006884,10000175862,0.02100491441
153,地铁机场线,dtjcx,605604,10000177447,0246,10000175862,10000175849,0.00427321293
154,地铁7号线,dt7hx,595664,10001442793,0246,210001439623,210001439622,0.02442833835
155,地铁7号线,dt7hx,595663,10001442791,0246,110001439622,110001439621,0.00599564937
156,地铁8号线,dt8hx,605612,10000014151,0246,210000175842,10000016945,0.01774003134
157,地铁10号线,dt10hx,595673,10000005014,0246,10000020070,10000006032,0.03839816435
158,地铁机场线,dtjcx,595673,10000005013,0246,10000021589,10000006032,0.02655956352
159,地铁8号线,dt8hx,605603,10000008472,0246,10000020528,210000010164,0.02394898901
160,地铁2号线,dt2hx,595663,10000029210,0246,10000004555,110000024578,0.00822296772
161,地铁4号线,dt4hx,595662,10000009359,0246,10000029118,110000011217,0.01753151813
162,地铁机场线,dtjcx,605604,10000021608,0246,10000175849,10000175850,0.00327322586
163,地铁13号线,dt13hx,605602,10000010144,0245,210000016008,10000012135,0.07758540562
164,地铁2号线,dt2hx,595662,10000021417,0246,10000026368,110000025591,0.00063029422
165,地铁5号线,dt5hx,595673,10000010355,0246,10000007345,10000012380,0.02969709828
166,地铁10号线,dt10hx,595673,10000016777,0246,210000003297,10000020070,0.00665339163
167,地铁八通线,dtbtx,595665,10000016437,0245,210000028583,10000019659,0.08165477965
168,地铁7号线,dt7hx,595664,10001442789,0246,210001439621,10001439619,0.04273031559
169,地铁15号线,dt15hx,605602,10001442795,0246,10001439624,110001439626,0.03603340017
170,地铁15号线,dt15hx,605603,10001442797,0246,210001439626,210001439627,0.06234188173
171,地铁15号线,dt15hx,595673,10001442798,0246,110001439627,10000012848,0.01428132628
